nodes_active,nodes_removed,nodes_merged,nodes_w_parents,nodes_w_children,edges
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,213,0,15,0,0
15,213,0,15,0,0
15,213,0,15,0,0
15,213,0,15,0,0
14,214,0,14,0,0
14,214,0,14,0,0
14,214,0,14,0,0
14,214,0,14,0,0
14,214,0,14,0,0
14,214,0,14,0,0
14,214,0,14,0,0
14,214,0,14,0,0
14,214,0,14,0,0
14,214,0,14,0,0
15,214,0,15,0,0
15,214,0,15,0,0
15,214,0,15,0,0
15,214,0,15,0,0
15,214,0,15,0,0
15,214,0,15,0,0
15,214,0,15,0,0
15,214,0,15,0,0
15,214,0,15,0,0
15,214,0,15,0,0
15,214,0,15,0,0
15,214,0,15,0,0
15,215,0,15,0,0
15,215,0,15,0,0
15,215,0,15,0,0
14,216,0,14,0,0
14,216,0,14,0,0
14,216,0,14,0,0
14,216,0,14,0,0
14,216,0,14,0,0
14,216,0,14,0,0
15,216,0,15,0,0
15,217,0,15,0,0
15,218,0,15,0,0
15,219,0,15,0,0
15,220,0,15,0,0
15,221,0,15,0,0
15,222,0,15,0,0
15,222,0,15,0,0
15,223,0,15,0,0
15,223,0,15,0,0
15,223,0,15,0,0
15,223,0,15,0,0
15,223,0,15,0,0
15,223,0,15,0,0
16,223,0,16,0,0
16,223,0,16,0,0
16,224,0,16,0,0
16,224,0,16,0,0
16,225,0,16,0,0
16,226,0,16,0,0
16,227,0,16,0,0
15,228,0,15,0,0
16,228,0,16,0,0
16,229,0,16,0,0
16,230,0,16,0,0
16,231,0,16,0,0
16,232,0,16,0,0
16,233,0,16,0,0
16,234,0,16,0,0
16,235,0,16,0,0
16,236,0,16,0,0
15,238,0,15,0,0
15,239,0,15,0,0
15,240,0,15,0,0
15,241,0,15,0,0
15,241,0,15,0,0
15,242,0,15,0,0
15,243,0,15,0,0
15,243,0,15,0,0
15,244,0,15,0,0
16,244,0,16,0,0
16,245,0,16,0,0
16,247,0,16,0,0
16,249,0,16,0,0
16,250,0,16,0,0
16,251,0,16,0,0
15,253,0,15,0,0
15,254,0,15,0,0
14,255,0,14,0,0
14,255,0,14,0,0
14,255,0,14,0,0
14,255,0,14,0,0
14,255,0,14,0,0
14,255,0,14,0,0
13,256,0,13,0,0
13,256,0,13,0,0
13,256,0,13,0,0
13,256,0,13,0,0
13,256,0,13,0,0
13,256,0,13,0,0
13,256,0,13,0,0
13,256,0,13,0,0
14,256,0,14,0,0
13,257,0,13,0,0
14,257,0,14,0,0
14,258,0,14,0,0
14,259,0,14,0,0
14,260,0,14,0,0
14,261,0,14,0,0
14,262,0,14,0,0
14,263,0,14,0,0
15,264,0,15,0,0
15,265,0,15,0,0
14,267,0,14,0,0
14,267,0,14,0,0
14,268,0,14,0,0
14,269,0,14,0,0
14,270,0,14,0,0
14,271,0,14,0,0
14,272,0,14,0,0
14,272,0,14,0,0
15,273,0,15,0,0
15,274,0,15,0,0
15,275,0,15,0,0
15,276,0,15,0,0
15,277,0,15,0,0
15,278,0,15,0,0
15,279,0,15,0,0
15,280,0,15,0,0
15,281,0,15,0,0
15,282,0,15,0,0
15,283,0,15,0,0
15,284,0,15,0,0
15,285,0,15,0,0
15,286,0,15,0,0
15,287,0,15,0,0
15,288,0,15,0,0
15,289,0,15,0,0
15,290,0,15,0,0
15,291,0,15,0,0
15,291,0,15,0,0
15,292,0,15,0,0
15,293,0,15,0,0
15,294,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,295,0,15,0,0
15,296,0,15,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
14,297,0,14,0,0
15,297,0,15,0,0
15,298,0,15,0,0
15,299,0,15,0,0
15,300,0,15,0,0
15,300,0,15,0,0
15,300,0,15,0,0
15,301,0,15,0,0
15,302,0,15,0,0
15,302,0,15,0,0
15,303,0,15,0,0
16,303,0,16,0,0
15,305,0,15,0,0
15,306,0,15,0,0
15,306,0,15,0,0
15,307,0,15,0,0
15,307,0,15,0,0
15,308,0,15,0,0
15,308,0,15,0,0
15,308,0,15,0,0
15,308,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
15,309,0,15,0,0
14,310,0,14,0,0
14,310,0,14,0,0
14,310,0,14,0,0
14,310,0,14,0,0
14,310,0,14,0,0
14,310,0,14,0,0
14,310,0,14,0,0
14,310,0,14,0,0
14,310,0,14,0,0
14,310,0,14,0,0
14,310,0,14,0,0
14,310,0,14,0,0
14,310,0,14,0,0
14,310,0,14,0,0
14,310,0,14,0,0
14,310,0,14,0,0
14,310,0,14,0,0
14,310,0,14,0,0
14,310,0,14,0,0
14,310,0,14,0,0
15,310,0,15,0,0
15,310,0,15,0,0
15,311,0,15,0,0
15,311,0,15,0,0
16,311,0,16,0,0
16,312,0,16,0,0
16,313,0,16,0,0
16,314,0,16,0,0
16,315,0,16,0,0
15,316,0,15,0,0
15,316,0,15,0,0
15,316,0,15,0,0
15,316,0,15,0,0
15,316,0,15,0,0
14,317,0,14,0,0
14,317,0,14,0,0
14,317,0,14,0,0
14,317,0,14,0,0
14,317,0,14,0,0
14,317,0,14,0,0
15,317,0,15,0,0
15,317,0,15,0,0
15,317,0,15,0,0
15,317,0,15,0,0
15,317,0,15,0,0
15,317,0,15,0,0
16,317,0,16,0,0
16,318,0,16,0,0
16,319,0,16,0,0
16,320,0,16,0,0
16,321,0,16,0,0
16,322,0,16,0,0
16,323,0,16,0,0
16,324,0,16,0,0
16,325,0,16,0,0
16,325,0,16,0,0
16,325,0,16,0,0
16,325,0,16,0,0
16,326,0,16,0,0
16,326,0,16,0,0
16,326,0,16,0,0
16,327,0,16,0,0
16,327,0,16,0,0
16,327,0,16,0,0
16,327,0,16,0,0
16,328,0,16,0,0
16,329,0,16,0,0
16,329,0,16,0,0
16,329,0,16,0,0
16,329,0,16,0,0
16,329,0,16,0,0
16,329,0,16,0,0
16,329,0,16,0,0
16,329,0,16,0,0
16,329,0,16,0,0
16,329,0,16,0,0
16,330,0,16,0,0
16,330,0,16,0,0
16,330,0,16,0,0
16,330,0,16,0,0
16,330,0,16,0,0
16,331,0,16,0,0
16,331,0,16,0,0
16,332,0,16,0,0
16,332,0,16,0,0
16,332,0,16,0,0
16,332,0,16,0,0
16,332,0,16,0,0
16,332,0,16,0,0
